fhorgid,fhorgname,fhorgtype,status,createdby,createddate,updatedby,lastupdateddate,fhdeptindagencyorgid,fhagencyorgname,agencycode,cgaclist/0/cgac,fhorgnamehistory/0/fhorgname,fhorgnamehistory/0/effectivedate,fhorgparenthistory/0/fhfullparentpathid,fhorgparenthistory/0/fhfullparentpathname,fhorgparenthistory/0/effectivedate,links/0/rel,links/0/href,links/0/hreflang,links/0/media,links/0/title,links/0/type,links/0/deprecation,links/1/rel,links/1/href,links/1/hreflang,links/1/media,links/1/title,links/1/type,links/1/deprecation,oldfpdsofficecode,cgaclist/1/cgac,cgaclist/2/cgac,cgaclist/3/cgac,cgaclist/4/cgac
300000076,BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FUND,Department/Ind. Agency,ACTIVE,IAE_DATA_TEAM,2017-10-05 12:35,FPDS_START_DATE_FIX,2019-11-21 23:04,300000076,BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FUND,9560,313,BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FUND,1957-07-01 00:00,300000076,BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FUND,1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000076,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000076,,,,,,,,,,
300000008,BOTANIC GARDEN,Department/Ind. Agency,ACTIVE,IAE_DATA_TEAM,2017-10-05 12:35,FPDS_START_DATE_FIX,2019-11-21 23:04,300000008,BOTANIC GARDEN,0902,009,BOTANIC GARDEN,1957-07-01 00:00,300000008,BOTANIC GARDEN,1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000008,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000008,,,,,,,,,,
300000038,CENTRAL INTELLIGENCE AGENCY,Department/Ind. Agency,ACTIVE,IAE_DATA_TEAM,2017-10-05 12:35,FPDS_START_DATE_FIX,2019-11-21 23:04,300000038,CENTRAL INTELLIGENCE AGENCY,5600,056,CENTRAL INTELLIGENCE AGENCY,1957-07-01 00:00,300000038,CENTRAL INTELLIGENCE AGENCY,1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000038,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000038,,,,,,,,,,
300000079,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,Department/Ind. Agency,ACTIVE,IAE_DATA_TEAM,2017-10-05 12:35,FPDS_START_DATE_FIX,2019-11-21 23:04,300000079,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,9565,510,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,1957-07-01 00:00,300000079,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000079,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000079,,,,,,,,,,
300000043,CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION,Department/Ind. Agency,ACTIVE,IAE_DATA_TEAM,2017-10-05 12:35,FPDS_START_DATE_FIX,2019-11-21 23:04,300000043,CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION,7635,465,CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION,1957-07-01 00:00,300000043,CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION,1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000043,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000043,,,,,,,,,,
100035122,"COMMERCE, DEPARTMENT OF",Department/Ind. Agency,ACTIVE,,1996-07-30 00:00,FPDS_START_DATE_FIX,2019-11-21 23:04,100035122,"COMMERCE, DEPARTMENT OF",1300,013,"COMMERCE, DEPARTMENT OF",1957-07-01 00:00,100035122,"COMMERCE, DEPARTMENT OF",1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100035122,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100035122,,,,,,1300,,,,
300000758,COMMISSION FOR THE PRESERVATION OF AMERICA'S HERITAGE ABROAD,Department/Ind. Agency,ACTIVE,DATA TEAM,2017-12-11 15:45,FPDS_START_DATE_FIX,2019-11-21 23:04,300000758,COMMISSION FOR THE PRESERVATION OF AMERICA'S HERITAGE ABROAD,9567,321,COMMISSION FOR THE PRESERVATION OF AMERICA'S HERITAGE ABROAD,1957-07-01 00:00,300000758,COMMISSION FOR THE PRESERVATION OF AMERICA'S HERITAGE ABROAD,1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000758,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000758,,,,,,,,,,
300000066,COMMISSION OF FINE ARTS,Department/Ind. Agency,ACTIVE,IAE_DATA_TEAM,2017-10-05 12:35,FPDS_START_DATE_FIX,2019-11-21 23:04,300000066,COMMISSION OF FINE ARTS,9537,323,COMMISSION OF FINE ARTS,1957-07-01 00:00,300000066,COMMISSION OF FINE ARTS,1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000066,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000066,,,,,,,,,,
100002723,COMMISSION ON CIVIL RIGHTS,Department/Ind. Agency,ACTIVE,MIGRATOR,1996-07-30 00:00,FPDS_START_DATE_FIX,2019-11-21 23:04,100002723,COMMISSION ON CIVIL RIGHTS,9517,326,COMMISSION ON CIVIL RIGHTS,1957-07-01 00:00,100002723,COMMISSION ON CIVIL RIGHTS,1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100002723,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100002723,,,,,,9517,,,,
300000695,COMMISSION ON SECURITY AND COOPERATION IN EUROPE,Department/Ind. Agency,ACTIVE,DATA TEAM,2017-12-19 13:16,FPDS_START_DATE_FIX,2019-11-21 23:04,300000695,COMMISSION ON SECURITY AND COOPERATION IN EUROPE,0901,009,COMMISSION ON SECURITY AND COOPERATION IN EUROPE,1957-07-01 00:00,300000695,COMMISSION ON SECURITY AND COOPERATION IN EUROPE,1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000695,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000695,,,,,,,,,,
300000059,COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,Department/Ind. Agency,ACTIVE,IAE_DATA_TEAM,2017-10-05 12:35,FPDS_START_DATE_FIX,2019-11-21 23:04,300000059,COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,9518,338,COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,1957-07-01 00:00,300000059,COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000059,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000059,,,,,,,,,,
100002228,COMMODITY FUTURES TRADING COMMISSION,Department/Ind. Agency,ACTIVE,,1996-07-30 00:00,FPDS_START_DATE_FIX,2019-11-21 23:04,100002228,COMMODITY FUTURES TRADING COMMISSION,9507,339,COMMODITY FUTURES TRADING COMMISSION,1957-07-01 00:00,100002228,COMMODITY FUTURES TRADING COMMISSION,1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100002228,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100002228,,,,,,9507,,,,
300000007,CONGRESSIONAL BUDGET OFFICE,Department/Ind. Agency,ACTIVE,IAE_DATA_TEAM,2017-10-05 12:35,FPDS_START_DATE_FIX,2019-11-21 23:04,300000007,CONGRESSIONAL BUDGET OFFICE,0800,008,CONGRESSIONAL BUDGET OFFICE,1957-07-01 00:00,300000007,CONGRESSIONAL BUDGET OFFICE,1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000007,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000007,,,,,,,,,,
300000075,CONSUMER FINANCIAL PROTECTION BUREAU,Department/Ind. Agency,ACTIVE,IAE_DATA_TEAM,2017-10-05 12:35,FPDS_START_DATE_FIX,2019-09-14 18:41,300000075,CONSUMER FINANCIAL PROTECTION BUREAU,955F,581,CONSUMER FINANCIAL PROTECTION BUREAU,2010-07-21 00:00,300000075,CONSUMER FINANCIAL PROTECTION BUREAU,2010-07-21 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000075,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000075,,,,,,,,,,
300000039,CONSUMER PRODUCT SAFETY COMMISSION,Department/Ind. Agency,ACTIVE,IAE_DATA_TEAM,2017-10-05 12:35,FPDS_START_DATE_FIX,2019-11-21 23:04,300000039,CONSUMER PRODUCT SAFETY COMMISSION,6100,061,CONSUMER PRODUCT SAFETY COMMISSION,1957-07-01 00:00,300000039,CONSUMER PRODUCT SAFETY COMMISSION,1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000039,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000039,,,,,,,,,,
100076164,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,Department/Ind. Agency,ACTIVE,LJOHNSON@CNS.GOV,2003-10-14 00:00,FPDS_START_DATE_FIX,2019-11-21 23:04,100076164,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,9577,485,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,1957-07-01 00:00,100076164,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100076164,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100076164,,,,,,9577,,,,
300000084,COURT SERVICES AND OFFENDER SUPERVISION AGENCY,Department/Ind. Agency,ACTIVE,IAE_DATA_TEAM,2017-10-05 12:35,FPDS_START_DATE_FIX,2019-11-21 23:04,300000084,COURT SERVICES AND OFFENDER SUPERVISION AGENCY,9594,511,COURT SERVICES AND OFFENDER SUPERVISION AGENCY,1957-07-01 00:00,300000084,COURT SERVICES AND OFFENDER SUPERVISION AGENCY,1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000084,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000084,,,,,,,,,,
300000058,DEFENSE NUCLEAR FACILITIES SAFETY BOARD,Department/Ind. Agency,ACTIVE,IAE_DATA_TEAM,2017-10-05 12:35,FPDS_START_DATE_FIX,2019-11-21 23:04,300000058,DEFENSE NUCLEAR FACILITIES SAFETY BOARD,9516,347,DEFENSE NUCLEAR FACILITIES SAFETY BOARD,1957-07-01 00:00,300000058,DEFENSE NUCLEAR FACILITIES SAFETY BOARD,1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000058,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000058,,,,,,,,,,
300000071,DELTA REGIONAL AUTHORITY,Department/Ind. Agency,ACTIVE,IAE_DATA_TEAM,2017-10-05 12:35,FPDS_START_DATE_FIX,2019-11-21 23:04,300000071,DELTA REGIONAL AUTHORITY,9547,517,DELTA REGIONAL AUTHORITY,1957-07-01 00:00,300000071,DELTA REGIONAL AUTHORITY,1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000071,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000071,,,,,,,,,,
100114164,DENALI COMMISSION,Department/Ind. Agency,ACTIVE,,2010-03-29 00:00,FPDS_START_DATE_FIX,2019-11-21 23:04,100114164,DENALI COMMISSION,9572,513,DENALI COMMISSION,1957-07-01 00:00,100114164,DENALI COMMISSION,1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100114164,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100114164,,,,,,9572,,,,
100000000,DEPT OF DEFENSE,Department/Ind. Agency,ACTIVE,,2006-04-14 00:00,FPDS_START_DATE_FIX,2019-11-21 23:04,100000000,DEPT OF DEFENSE,9700,057,DEPT OF DEFENSE,1957-07-01 00:00,100000000,DEPT OF DEFENSE,1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100000000,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100000000,,,,,,9700,021,017,096,097
500154577,DISTRICT OF COLUMBIA COURTS,Department/Ind. Agency,ACTIVE,michael.stephenson@gsa.gov,2020-02-10 09:20,michael.stephenson@gsa.gov,2020-02-10 09:20,500154577,DISTRICT OF COLUMBIA COURTS,9534,349,DISTRICT OF COLUMBIA COURTS,2020-02-03 00:00,500154577,DISTRICT OF COLUMBIA COURTS,2020-02-03 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=500154577,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=500154577,,,,,,,,,,
100001616,"EDUCATION, DEPARTMENT OF",Department/Ind. Agency,ACTIVE,,1996-07-30 00:00,FPDS_START_DATE_FIX,2019-11-21 23:04,100001616,"EDUCATION, DEPARTMENT OF",9100,091,"EDUCATION, DEPARTMENT OF",1957-07-01 00:00,100001616,"EDUCATION, DEPARTMENT OF",1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100001616,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100001616,,,,,,9100,,,,
100112407,ELECTION ASSISTANCE COMMISSION,Department/Ind. Agency,ACTIVE,DGANN@EAC.GOV,2009-10-26 00:00,FPDS_START_DATE_FIX,2019-11-21 23:04,100112407,ELECTION ASSISTANCE COMMISSION,9523,525,ELECTION ASSISTANCE COMMISSION,1957-07-01 00:00,100112407,ELECTION ASSISTANCE COMMISSION,1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100112407,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100112407,,,,,,9523,,,,
100011980,"ENERGY, DEPARTMENT OF",Department/Ind. Agency,ACTIVE,,2003-02-21 00:00,FPDS_START_DATE_FIX,2019-11-21 23:04,100011980,"ENERGY, DEPARTMENT OF",8900,089,"ENERGY, DEPARTMENT OF",1957-07-01 00:00,100011980,"ENERGY, DEPARTMENT OF",1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100011980,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100011980,,,,,,8900,,,,
100081847,ENVIRONMENTAL PROTECTION AGENCY,Department/Ind. Agency,ACTIVE,,2006-08-12 00:00,FPDS_START_DATE_FIX,2019-11-21 23:04,100081847,ENVIRONMENTAL PROTECTION AGENCY,6800,068,ENVIRONMENTAL PROTECTION AGENCY,1957-07-01 00:00,100081847,ENVIRONMENTAL PROTECTION AGENCY,1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100081847,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100081847,,,,,,6800,,,,
100011800,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,Department/Ind. Agency,ACTIVE,,1996-07-30 00:00,FPDS_START_DATE_FIX,2019-11-21 23:04,100011800,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,4500,045,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,1957-07-01 00:00,100011800,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100011800,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100011800,,,,,,4500,,,,
100041854,EXECUTIVE OFFICE OF THE PRESIDENT,Department/Ind. Agency,ACTIVE,,2003-11-20 00:00,FPDS_START_DATE_FIX,2019-11-21 23:04,100041854,EXECUTIVE OFFICE OF THE PRESIDENT,1100,011,EXECUTIVE OFFICE OF THE PRESIDENT,1957-07-01 00:00,100041854,EXECUTIVE OFFICE OF THE PRESIDENT,1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100041854,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100041854,,,,,,1100,,,,
100140118,EXPORT-IMPORT BANK OF THE U.S.,Department/Ind. Agency,ACTIVE,,2013-06-19 00:00,FPDS_START_DATE_FIX,2019-11-21 23:04,100140118,EXPORT-IMPORT BANK OF THE US,8300,083,EXPORT-IMPORT BANK OF THE U.S.,1957-07-01 00:00,100140118,EXPORT-IMPORT BANK OF THE US,1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100140118,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100140118,,,,,,8300,,,,
300000044,FARM CREDIT ADMINISTRATION,Department/Ind. Agency,ACTIVE,IAE_DATA_TEAM,2017-10-05 12:35,FPDS_START_DATE_FIX,2019-11-21 23:04,300000044,FARM CREDIT ADMINISTRATION,7800,352,FARM CREDIT ADMINISTRATION,1957-07-01 00:00,300000044,FARM CREDIT ADMINISTRATION,1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000044,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000044,,,,,,,,,,
100076366,FEDERAL COMMUNICATIONS COMMISSION,Department/Ind. Agency,ACTIVE,,2004-06-03 00:00,FPDS_START_DATE_FIX,2019-11-21 23:04,100076366,FEDERAL COMMUNICATIONS COMMISSION,2700,027,FEDERAL COMMUNICATIONS COMMISSION,1957-07-01 00:00,100076366,FEDERAL COMMUNICATIONS COMMISSION,1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100076366,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100076366,,,,,,2700,,,,
300000034,FEDERAL DEPOSIT INSURANCE CORPORATION,Department/Ind. Agency,ACTIVE,IAE_DATA_TEAM,2017-10-05 12:35,FPDS_START_DATE_FIX,2019-11-21 23:04,300000034,FEDERAL DEPOSIT INSURANCE CORPORATION,5100,051,FEDERAL DEPOSIT INSURANCE CORPORATION,1957-07-01 00:00,300000034,FEDERAL DEPOSIT INSURANCE CORPORATION,1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000034,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000034,,,,,,,,,,
300000050,FEDERAL ELECTION COMMISSION,Department/Ind. Agency,ACTIVE,IAE_DATA_TEAM,2017-10-05 12:35,FPDS_START_DATE_FIX,2019-11-21 23:04,300000050,FEDERAL ELECTION COMMISSION,9506,360,FEDERAL ELECTION COMMISSION,1957-07-01 00:00,300000050,FEDERAL ELECTION COMMISSION,1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000050,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000050,,,,,,,,,,
